uf;tema;tipo_instituicao;instituicao;status;negociado;executado
Distrito Federal;Aeroportos;Governo Federal;Infraero;Em andamento;4160000.0;3494400.0
Distrito Federal;Aeroportos;Entidade Privada;Concessionário;Em andamento;642400000.0;642400000.0
Ceará;Mobilidade Urbana;Governo Estadual;Governo do estado do ceará;Em andamento;307519777.86;156835086.7086
Ceará;Mobilidade Urbana;Governo Municipal;Prefeitura municipal de fortaleza;Em andamento;152000000.0;24320000.0
Rio de Janeiro;Mobilidade Urbana;Governo Municipal;Prefeitura municipal do rio de janeiro;Em andamento;1969606211.94;1949910149.8206
Pernambuco;Mobilidade Urbana;Governo Estadual;Governo do estado de pernambuco;Em andamento;196000000.0;180320000.0
Pernambuco;Mobilidade Urbana;Governo Estadual;Governo do estado de pernambuco;Em andamento;197700000.0;154206000.0
Pernambuco;Mobilidade Urbana;Governo Estadual;Governo do estado de pernambuco;Em andamento;146100000.0;115419000.0
Pernambuco;Mobilidade Urbana;Governo Municipal;Prefeitura municipal de recife;Em andamento;430436469.19;426132104.4981
Pernambuco;Mobilidade Urbana;Governo Estadual;Governo do estado de pernambuco;Concluído;24500000.0;24500000.0
Ceará;Mobilidade Urbana;Governo Municipal;Prefeitura municipal de fortaleza;Em andamento;41600000.0;3744000.0
Ceará;Mobilidade Urbana;Governo Municipal;Prefeitura municipal de fortaleza;Em andamento;41400000.0;31050000.0
Ceará;Mobilidade Urbana;Governo Municipal;Prefeitura municipal de fortaleza;Em andamento;65900000.0;47448000.0
Ceará;Mobilidade Urbana;Governo Estadual;Governo do estado do ceará;Em andamento;43500000.0;23055000.0
Rio Grande do Norte;Mobilidade Urbana;Governo Estadual;Governo do estado do rio grande do norte;Em andamento;73100000.0;24123000.0
Rio Grande do Norte;Mobilidade Urbana;Governo Municipal;Prefeitura municipal de natal;Em andamento;370947996.91;244825677.96060002
São Paulo;Aeroportos;Entidade Privada;Concessionária aeroportos brasil viracopos s/a;Em andamento;1180000000.0;1097400000.0
Minas Gerais;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de belo horizonte;Não iniciado;1845612.86;55368.385800000004
Minas Gerais;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de belo horizonte;Não iniciado;721630.77;122677.2309
Ceará;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de fortaleza;Não iniciado;22054872.44;5734266.834400001
Minas Gerais;Desenvolvimento Turístico;Governo Estadual;Governo do estado de minas gerais;Não iniciado;1796227.52;0.0
Minas Gerais;Desenvolvimento Turístico;Governo Estadual;Governo do estado de minas gerais;Em andamento;290508.56;0.0
Amazonas;Desenvolvimento Turístico;Governo Estadual;Governo do estado de amazonas;Não iniciado;2046153.85;40923.077000000005
Rio Grande do Norte;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de natal;Não iniciado;3904950.37;0.0
Rio Grande do Norte;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de natal;Concluído;363151.84;257837.8064
Distrito Federal;Desenvolvimento Turístico;Governo Distrital;Governo do distrito federal;Não iniciado;4053439.85;202671.9925
Rio Grande do Norte;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de natal;Em andamento;14977329.23;6739798.1535
Distrito Federal;Desenvolvimento Turístico;Governo Distrital;Governo do distrito federal;Não iniciado;286461.54;286461.54
Rio Grande do Sul;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de porto alegre;Não iniciado;278149.39;0.0
Rio Grande do Sul;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de porto alegre;Não iniciado;7527835.01;0.0
Mato Grosso;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de cuiabá;Não iniciado;1668896.32;0.0
Rio Grande do Sul;Desenvolvimento Turístico;Governo Estadual;Governo do estado do rio grande do sul;Não iniciado;4975100.98;0.0
Mato Grosso;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de cuiabá;Não iniciado;1526483.84;0.0
Pernambuco;Desenvolvimento Turístico;Governo Estadual;Governo do estado de pernambuco;Não iniciado;3234817.82;0.0
Rio de Janeiro;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal do rio de janeiro;Não iniciado;18424615.38;0.0
Paraná;Desenvolvimento Turístico;Governo Estadual;Governo do estado do paraná;Não iniciado;1509851.29;30197.0258
Bahia;Desenvolvimento Turístico;Governo Estadual;Governo do estado da bahia;Não iniciado;6699079.84;0.0
São Paulo;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de são paulo;Concluído;972410.26;700135.3872
Paraná;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de curitiba;Não iniciado;12839382.32;0.0
Mato Grosso;Segurança Pública;Governo Federal;Sesge/min. justiça;Não iniciado;39000000.0;39000000.0
Mato Grosso;Segurança Pública;Governo Federal;Sesge/min. justiça;Não iniciado;16200000.0;12150000.0
Mato Grosso;Segurança Pública;Governo Federal;Sesge/min. justiça;Em andamento;322000000.0;289800000.0
Mato Grosso;Segurança Pública;Governo Federal;Comando da aeronáutica;Concluído;247798191.38;247798191.38
Mato Grosso;Segurança Pública;Governo Federal;Comando da aeronáutica;Concluído;1060000.0;1060000.0
Mato Grosso;Segurança Pública;Governo Federal;Comando do exército;Concluído;52342106.14;51818685.0786
Mato Grosso;Segurança Pública;Governo Federal;Comando do exército;Concluído;34403714.55;31307380.240499996
Mato Grosso;Segurança Pública;Governo Federal;Comando do exército;Concluído;9552245.28;9170155.468799999
Mato Grosso;Segurança Pública;Governo Federal;Comando do exército;Concluído;34940615.51;34591209.354899995
Mato Grosso;Segurança Pública;Governo Federal;Comando do exército;Concluído;10290117.97;9981414.4309
Mato Grosso;Segurança Pública;Governo Federal;Comando do exército;Concluído;41268696.29;40030635.4013
Mato Grosso;Segurança Pública;Governo Federal;Comando do exército;Concluído;59565050.42;57182448.4032
Mato Grosso;Segurança Pública;Governo Federal;Comando do exército;Concluído;3158801.62;3064037.5714
Mato Grosso;Segurança Pública;Governo Federal;Comando da marinha;Concluído;16681075.5;16681075.5
Mato Grosso;Segurança Pública;Governo Federal;Estado-maior conjunto das forças armadas-md;Concluído;1712868.82;1712868.82
Mato Grosso;Segurança Pública;Governo Federal;Comando da marinha;Concluído;1179794.63;1179794.63
Mato Grosso;Segurança Pública;Governo Federal;Comando da marinha;Concluído;122542892.96;122542892.96
Mato Grosso;Segurança Pública;Governo Federal;Comando da marinha;Concluído;27991377.13;25192239.417
Mato Grosso;Segurança Pública;Governo Federal;Comando da marinha;Concluído;2077825.63;2077825.63
Mato Grosso;Segurança Pública;Governo Federal;Comando da marinha;Concluído;23124338.13;22430607.986100003
Mato Grosso;Segurança Pública;Governo Federal;Comando da marinha;Concluído;1736428.04;1736428.04
Rio Grande do Sul;Mobilidade Urbana;Governo Municipal;Prefeitura municipal de porto alegre;Concluído;8000000.0;8000000.0
Pernambuco;Mobilidade Urbana;Governo Estadual;Governo do estado de pernambuco;Concluído;25000000.0;25000000.0
Rio de Janeiro;Mobilidade Urbana;Governo Municipal;Prefeitura municipal do rio de janeiro;Concluído;109000000.0;109000000.0
Rio de Janeiro;Mobilidade Urbana;Governo Estadual;Governo do estado do rio de janeiro;Em andamento;178100000.0;163852000.0
Bahia;Mobilidade Urbana;Governo Estadual;Governo do estado da bahia;Concluído;12400000.0;12400000.0
Bahia;Mobilidade Urbana;Governo Estadual;Governo do estado da bahia;Em andamento;7200000.0;2376000.0
São Paulo;Mobilidade Urbana;Governo Estadual;Governo do estado de são paulo;Em andamento;610507000.0;598296860.0
São Paulo;Aeroportos;Entidade Privada;Concessionário;Em andamento;1420000000.0;1391600000.0
Pernambuco;Mobilidade Urbana;Governo Municipal;Prefeitura municipal de recife;Concluído;7400000.0;7400000.0
Minas Gerais;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de belo horizonte;Não iniciado;3671571.88;0.0
Pernambuco;Desenvolvimento Turístico;Governo Estadual;Governo do estado de pernambuco;Não iniciado;7547908.23;75479.08230000001
Pernambuco;Desenvolvimento Turístico;Governo Municipal;Prefeitura municipal de recife;Não iniciado;4917948.72;49179.487199999996
Paraná;Mobilidade Urbana;Governo Estadual;Governo do estado do paraná;Em andamento;20390326.5;10399066.515
Paraná;Mobilidade Urbana;Governo Municipal;Prefeitura municipal de curitiba;Em andamento;39430000.0;39035700.0
Paraná;Mobilidade Urbana;Governo Estadual;Governo do estado do paraná;Em andamento;65200000.0;38468000.0
Mato Grosso;Outros;Governo Federal;Ministério do esporte;Em andamento;28136514.2;28136514.2
Mato Grosso;Outros;Governo Federal;Ministério do esporte;Concluído;13257140.67;13257140.67
Mato Grosso;Outros;Governo Federal;Ministério do esporte;Concluído;49600.0;49600.0
Mato Grosso;Segurança Pública;Governo Federal;Sesge/min. justiça;Em andamento;20500000.0;15170000.0
Mato Grosso;Segurança Pública;Governo Federal;Sesge/min. justiça;Em andamento;680500000.0;680500000.0
Mato Grosso;Telecomunicações;Governo Federal;Ministério das comunicações;Concluído;33382652.87;33382652.87
Ceará;Desenvolvimento Turístico;Banco Federal;Bnb;Em andamento;0.0;0.0
Pernambuco;Desenvolvimento Turístico;Banco Federal;Bnb;Em andamento;0.0;0.0
Rio Grande do Norte;Desenvolvimento Turístico;Banco Federal;Bnb;Em andamento;0.0;0.0
Pernambuco;Desenvolvimento Turístico;Banco Federal;Bnb;Não iniciado;0.0;0.0
Minas Gerais;Instalações Complementares (Copa das Confederações);Governo Estadual;Governo do estado de minas gerais;Concluído;38300000.0;38300000.0
Distrito Federal;Instalações Complementares (Copa das Confederações);Governo Distrital;Governo do distrito federal;Concluído;27000000.0;27000000.0
Ceará;Instalações Complementares (Copa das Confederações);Governo Estadual;Governo do estado do ceará;Concluído;27400000.0;27400000.0
Pernambuco;Instalações Complementares (Copa das Confederações);Governo Estadual;Governo do estado de pernambuco;Concluído;35700000.0;35700000.0
Rio de Janeiro;Instalações Complementares (Copa das Confederações);Governo Estadual;Governo do estado do rio de janeiro;Concluído;37700000.0;37700000.0
Bahia;Instalações Complementares (Copa das Confederações);Governo Estadual;Governo do estado da bahia;Concluído;34000000.0;34000000.0
Rio Grande do Sul;Mobilidade Urbana;Governo Municipal;Prefeitura municipal de porto alegre;Em andamento;8700000.0;7395000.0
Pernambuco;Desenvolvimento Turístico;Banco Federal;Bnb;Não iniciado;0.0;0.0
